date,trend_score_পেঁয়াজ,trend_score_onion
2021-05-16,0,81
2021-05-23,12,54
2021-05-30,28,100
2021-06-06,16,90
2021-06-13,15,76
2021-06-20,12,78
2021-06-27,12,89
2021-07-04,12,85
2021-07-11,0,79
2021-07-18,0,57
2021-07-25,0,82
2021-08-01,15,69
2021-08-08,0,85
2021-08-15,17,84
2021-08-22,18,83
2021-08-29,0,90
2021-09-05,16,74
2021-09-12,31,82
2021-09-19,29,71
2021-09-26,15,76
2021-10-03,34,74
2021-10-10,34,81
2021-10-17,0,78
2021-10-24,18,69
2021-10-31,12,77
2021-11-07,15,83
2021-11-14,18,47
2021-11-21,17,85
2021-11-28,13,75
2021-12-05,20,88
2021-12-12,25,67
2021-12-19,13,93
2021-12-26,19,80
2022-01-02,16,63
2022-01-09,13,79
2022-01-16,14,72
2022-01-23,14,75
2022-01-30,18,85
2022-02-06,0,74
2022-02-13,0,60
2022-02-20,11,57
2022-02-27,11,71
2022-03-06,17,65
2022-03-13,13,55
2022-03-20,10,51
2022-03-27,10,100
2022-04-03,17,67
2022-04-10,16,56
2022-04-17,16,64
2022-04-24,13,64
2022-05-01,10,44
2022-05-08,15,54
2022-05-15,12,61
2022-05-22,13,59
2022-05-29,8,62
2022-06-05,10,64
2022-06-12,14,67
2022-06-19,13,58
2022-06-26,17,62
2022-07-03,11,60
2022-07-10,0,50
2022-07-17,12,49
2022-07-24,15,60
2022-07-31,9,61
2022-08-07,12,65
2022-08-14,11,74
2022-08-21,10,65
2022-08-28,8,72
2022-09-04,11,71
2022-09-11,7,85
2022-09-18,9,83
2022-09-25,12,53
2022-10-02,0,69
2022-10-09,17,65
2022-10-16,13,62
2022-10-23,11,56
2022-10-30,13,58
2022-11-06,13,69
2022-11-13,13,44
2022-11-20,5,36
2022-11-27,6,29
2022-12-04,6,28
2022-12-11,5,30
2022-12-18,10,67
2022-12-25,7,100
2023-01-01,7,64
2023-01-08,12,51
2023-01-15,9,40
2023-01-22,9,47
2023-01-29,10,45
2023-02-05,8,38
2023-02-12,8,36
2023-02-19,10,41
2023-02-26,10,44
2023-03-05,13,42
2023-03-12,12,38
2023-03-19,9,38
2023-03-26,11,35
2023-04-02,12,33
2023-04-09,7,35
2023-04-16,8,25
2023-04-23,6,31
2023-04-30,11,32
2023-05-07,12,30
2023-05-14,13,39
2023-05-21,14,44
2023-05-28,9,38
2023-06-04,23,46
2023-06-11,11,36
2023-06-18,9,39
2023-06-25,9,33
2023-07-02,8,35
2023-07-09,9,45
2023-07-16,9,43
2023-07-23,7,41
2023-07-30,9,35
2023-08-06,8,41
2023-08-13,7,39
2023-08-20,15,46
2023-08-27,10,35
2023-09-03,10,36
2023-09-10,8,29
2023-09-17,9,33
2023-09-24,8,35
2023-10-01,10,34
2023-10-08,11,27
2023-10-15,7,30
2023-10-22,12,31
2023-10-29,16,47
2023-11-05,12,34
2023-11-12,13,37
2023-11-19,11,38
2023-11-26,11,31
2023-12-03,31,57
2023-12-10,57,100
2023-12-17,19,49
2023-12-24,12,42
2023-12-31,11,41
2024-01-07,14,33
2024-01-14,11,38
2024-01-21,14,38
2024-01-28,9,34
2024-02-04,13,34
2024-02-11,12,35
2024-02-18,18,32
2024-02-25,14,34
2024-03-03,14,32
2024-03-10,13,39
2024-03-17,16,39
2024-03-24,14,38
2024-03-31,17,32
2024-04-07,8,28
2024-04-14,6,27
2024-04-21,8,24
2024-04-28,7,28
2024-05-05,20,73
2024-05-12,21,92
2024-05-19,13,81
2024-05-26,21,88
2024-06-02,21,76
2024-06-09,18,70
2024-06-16,16,72
2024-06-23,25,79
2024-06-30,22,86
2024-07-07,33,87
2024-07-14,25,81
2024-07-21,0,86
2024-07-28,22,77
2024-08-04,21,62
2024-08-11,28,85
2024-08-18,30,89
2024-08-25,30,92
2024-09-01,31,84
2024-09-08,37,100
2024-09-15,41,90
2024-09-22,35,88
2024-09-29,26,83
2024-10-06,34,87
2024-10-13,40,85
2024-10-20,27,79
2024-10-27,48,100
2024-11-03,33,76
2024-11-10,44,90
2024-11-17,46,81
2024-11-24,33,85
2024-12-01,43,98
2024-12-08,48,88
2024-12-15,32,80
2024-12-22,35,86
2024-12-29,28,92
2025-01-05,45,91
2025-01-12,30,96
2025-01-19,26,90
2025-01-26,42,79
2025-01-27,0,0
2025-01-28,0,60
2025-01-29,0,37
2025-01-30,0,0
2025-01-31,0,51
2025-02-01,0,44
2025-02-02,0,44
2025-02-03,0,44
2025-02-04,0,0
2025-02-05,0,0
2025-02-06,0,45
2025-02-07,0,0
2025-02-08,0,59
2025-02-09,0,0
2025-02-10,0,50
2025-02-11,0,46
2025-02-12,0,0
2025-02-13,0,0
2025-02-14,0,0
2025-02-15,0,46
2025-02-16,0,51
2025-02-17,0,56
2025-02-18,0,39
2025-02-19,0,0
2025-02-20,0,0
2025-02-21,0,50
2025-02-22,0,0
2025-02-23,0,49
2025-02-24,0,35
2025-02-25,0,53
2025-02-26,0,46
2025-02-27,0,38
2025-02-28,0,55
2025-03-01,0,46
2025-03-02,0,0
2025-03-03,0,0
2025-03-04,0,41
2025-03-05,0,48
2025-03-06,0,46
2025-03-07,0,0
2025-03-08,0,0
2025-03-09,0,0
2025-03-10,0,0
2025-03-11,0,44
2025-03-12,0,53
2025-03-13,0,49
2025-03-14,0,0
2025-03-15,0,0
2025-03-16,0,46
2025-03-17,0,0
2025-03-18,0,57
2025-03-19,0,47
2025-03-20,0,40
2025-03-21,0,63
2025-03-22,44,60
2025-03-23,0,63
2025-03-24,0,57
2025-03-25,0,40
2025-03-26,0,40
2025-03-27,0,0
2025-03-28,0,0
2025-03-29,0,0
2025-03-30,0,0
2025-03-31,0,0
2025-04-01,0,0
2025-04-02,0,0
2025-04-03,0,0
2025-04-04,0,43
2025-04-05,0,42
2025-04-06,0,37
2025-04-07,0,54
2025-04-08,0,0
2025-04-09,0,0
2025-04-10,0,100
2025-04-11,0,48
2025-04-12,0,67
2025-04-13,0,41
2025-04-14,0,39
2025-04-15,0,0
2025-04-16,0,0
2025-04-17,0,0
2025-04-18,0,40
2025-04-19,0,50
2025-04-20,0,49
2025-04-21,0,59
2025-04-22,0,0
2025-04-23,0,36
2025-04-24,0,0
2025-04-25,0,56
2025-04-26,0,0
2025-04-27,0,50
2025-04-28,0,49
2025-04-29,0,43
2025-04-30,0,61
2025-05-01,0,43
2025-05-02,0,0
2025-05-03,0,60
2025-05-04,0,0
2025-05-05,0,79
2025-05-06,0,44
2025-05-07,0,0
2025-05-08,0,38
2025-05-09,0,41
2025-05-10,0,0
2025-05-11,0,0
2025-05-12,0,0
2025-05-13,0,0
2025-05-14,0,0
2025-05-15,0,0
2025-05-16,0,44
2025-05-17,0,68
2025-05-18,0,0
2025-05-19,0,38
2025-05-20,0,0
2025-05-21,0,0
2025-05-22,0,36
2025-05-23,0,82
2025-05-24,0,41
2025-05-25,0,69
2025-05-26,0,0
2025-05-27,0,0
2025-05-28,0,0
2025-05-29,0,64
2025-05-30,0,62
2025-05-31,0,0
2025-06-01,0,0
2025-06-02,0,60
2025-06-03,0,41
2025-06-04,0,0
2025-06-05,0,0
2025-06-06,0,0
2025-06-07,0,0
2025-06-08,0,0
2025-06-09,0,0
2025-06-10,0,0
2025-06-11,0,0
2025-06-12,0,61
2025-06-13,0,0
2025-06-14,0,58
2025-06-15,0,42
2025-06-16,0,37
2025-06-17,0,0
2025-06-18,0,58
2025-06-19,0,33
2025-06-20,0,0
2025-06-21,0,0
2025-06-22,0,0
2025-06-23,0,65
2025-06-24,0,44
2025-06-25,0,39
2025-06-26,0,58
2025-06-27,0,0
2025-06-28,0,40
2025-06-29,0,73
2025-06-30,0,35
2025-07-01,0,36
2025-07-02,13,38
2025-07-03,12,38
2025-07-04,13,41
2025-07-05,12,42
2025-07-06,11,44
2025-07-07,14,43
2025-07-08,12,35
2025-07-09,17,35
2025-07-10,9,28
2025-07-11,15,39
2025-07-12,17,41
2025-07-13,15,38
2025-07-14,18,42
2025-07-15,18,42
2025-07-16,14,45
